weight,err
"[ 1.01042876  0.          0.          0.          0.          0.
 -0.94180233  0.          0.         -1.3758526   0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          1.11441546  1.2816438  -0.7738692   0.
  0.          0.          0.        ]",-1312.1252298549334
"[ 1.01327015  0.          0.          0.          0.          0.
  0.          0.          0.         -2.32326772  0.          0.
  0.          0.          0.         -0.55704409 -0.23489878  0.
  0.          0.          0.          0.          0.         -1.49727536
  0.89635225  0.         -1.33911322  0.          0.          0.
  0.          0.          0.          0.          0.35867529  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          1.76987586  0.          0.9120305
 -0.28381686  0.          0.        ]",-1351.9390462809743
"[ 0.85178628  0.          0.          0.          0.          0.3452823
  0.          0.          0.         -1.55082355  0.          0.
  0.          0.          0.         -0.36250649  0.          0.
  0.          0.          0.40368375  0.          0.         -0.90443127
  0.80232082  0.         -1.12662136  0.29295768  0.43737595  0.
  0.          0.          0.          0.          0.59784159  0.
  0.          0.48531932  0.          0.          0.57500055  0.
  0.          0.          0.          1.69792834 -0.64837691  0.73290005
  0.          0.          0.        ]",-1203.2297280862924
"[ 1.05649988  0.          0.          0.61742457 -0.26582866 -0.31857397
  0.          0.          0.         -1.4008885  -0.5757837   0.
  0.52202305 -0.60784229 -0.29658448 -0.31155263  0.         -0.45987385
  0.          0.          0.          0.          0.         -1.48135206
  1.15198583  0.         -0.59733722  0.          0.          0.60427832
  0.          0.         -0.56923552  0.          0.          0.40886366
  0.38021633  0.          0.28556776  0.          0.          0.
  0.          0.          0.          1.20418072 -0.42583953  0.
  0.          0.          0.        ]",-1347.2540364162878
"[ 1.23184044  0.          0.          0.          0.283042   -0.48258116
  0.          0.7311541   0.         -2.26590645  0.35372115  0.27968107
  0.          0.49252314 -0.44878352  0.          0.         -0.64326225
  0.57160369  0.          0.          0.         -0.49692097 -1.19891566
  0.53274381  0.         -1.33462656  0.         -0.3062215   0.
  0.60993693  0.          0.          0.          1.43733078 -0.71077406
  0.52865228  0.          0.         -0.6370015   0.          0.
  0.39700817  0.          0.62763007  2.12989363 -0.30267744  0.81494493
  0.          0.          0.        ]",-1344.9039293624799
"[ 0.74887511  0.          0.          0.          0.62436058  0.31387183
  0.          0.          0.57090635 -1.57667272  0.69642012  0.
 -0.67301067  0.          0.         -0.36308641  0.          0.
  0.46260161  1.06935802  0.47703098  0.         -0.83829353 -0.72817049
  0.         -0.71187454 -1.52451446 -0.81309326 -0.24410296  0.94257516
 -0.40837085  0.          1.08446951  0.          1.45653251 -0.47540758
  0.          0.48103181  0.         -0.67858192 -0.32026224 -1.18543313
  0.          0.         -0.89969264  1.58094438 -0.3276758   0.
  0.98318488  0.         -0.97263462]",-1510.1412168693892
"[ 0.9739128   0.15510054  0.          1.24036125  0.95744386  0.
 -0.4716285   0.90001593  0.         -2.4851504   0.          0.
 -0.60163999  0.          0.         -0.26541881  0.6125612  -0.23038491
  0.47594982 -0.68535594  0.91769394  0.71164944 -0.20134986 -0.54743335
  1.12642291  0.29783884 -0.91136329  0.64972249 -1.07772265  0.30260788
  0.         -0.19878074  0.19867213  0.16838926  2.0377905  -1.12429179
  0.         -0.67750421  0.         -0.71816974 -0.80136695  0.
  0.88717866 -0.7268213   0.62801622  2.20961774  0.          0.93389412
  0.          0.          0.        ]",-1184.9895236145462
"[ 1.12004677 -0.33760774  0.         -0.17547507  0.62212758  0.
 -0.83592495  0.93758251 -0.34685543 -2.73448566  1.34912336  0.
  0.27508693  1.35907251  0.         -0.1099612  -0.85967086  0.67992236
  1.49675561  1.67352472  1.10457806  0.         -0.56475731 -0.98180631
  0.          0.         -1.15476665 -0.31614201 -0.45560883  0.9875682
  0.          0.          1.11826457 -0.26729196  1.04966038 -0.37009194
  0.16102808  1.07280057 -0.60758864 -0.99003594  0.83986604 -1.11349227
  0.         -0.30065786 -0.43898926  1.86637698  0.40444934  0.92304224
  0.26185536  1.09143851  0.10559877]",-1158.234420337344
"[ 1.09594775  0.          0.          0.4574242   0.2267937   0.40296548
 -0.34652813  0.70295031 -0.42028072 -2.25789023  2.23466623  1.23825941
 -1.3703449   2.93679476  1.58883622  1.00511786 -0.99145731  2.95564531
  2.13039745  3.16176608  2.48938164 -0.6005889  -0.43652839 -0.43139576
  0.          1.02067079 -2.22267816 -1.38885623 -0.86541771  1.27397717
 -1.24846656  0.          3.00827618 -0.65980692  1.18862383  1.05501275
 -0.98230374  2.23077659 -1.46224629 -1.84750894  2.10879148 -3.33015391
  1.02928981 -1.45616414 -1.20588201  1.54623199 -0.31670422  1.11794472
  1.26988029  2.77120151  0.        ]",-1029.3795127407832
"[ 1.02531584 -0.8062829   0.18791317 -1.20799177  0.09382099 -0.09301147
  0.5138442  -0.17142647  0.14420553 -1.4876454  -0.40629079 -1.09067463
  0.52355576  1.45253131  0.09202232 -0.54436381 -0.45663646 -0.13861012
  0.38313117  0.54164219  0.50783985 -0.33783804 -0.412702   -0.70134372
 -0.15039483 -0.41822121 -2.26098102 -0.16006906 -0.00981006  0.5204496
 -0.71962462 -0.07689094 -0.4884547  -0.28042859 -0.07239316  0.10352708
  0.05087981  1.07801803  0.49735049  0.66457695 -0.04874218 -0.61537946
 -1.30938369  1.08247514 -0.02044342  1.4988446   0.42598116  1.57850346
 -0.18340653  0.8232747   0.33807015]",-1302.5390817280468
