weight,err
"[ 1.25588935  0.          0.          0.          0.          0.
  0.          0.          0.         -0.90018137  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.71199685  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.         -0.98688294  0.         -0.73753739
  0.         -0.84911648  0.          0.          0.          0.
  0.          0.          0.        ]",-1098.7718536358634
"[ 1.12837641  0.          0.          0.          0.          0.
  0.          0.          0.         -1.84025783  0.          0.
  0.          0.8411201   0.          0.         -0.47037161  0.
  0.          0.          0.          0.          0.         -1.49548065
  0.          0.         -1.21979269  0.          0.          0.53548152
  0.          0.49102329  0.          0.          0.52125727  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          1.31783035  0.          1.00602886
  0.          0.          0.        ]",-1066.235486548162
"[ 0.95131042  0.          0.          0.         -0.34013465  0.
  0.28607801  0.          0.         -1.29237161  0.          0.
  0.30415058  0.          0.          0.          0.         -0.72970161
  0.         -0.4492149   0.          0.          0.         -0.82681915
  0.72247895 -0.37881037 -1.26691399  0.          0.          0.32198717
  0.          0.         -0.73301758  0.          0.95317821  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          1.06577515 -0.49903503  0.
  0.          0.          0.        ]",-1482.7463797915739
"[ 0.83860982  0.27269489 -0.48536299 -0.41290255  0.          0.
  0.51726638  0.          0.         -2.0866936   0.          0.39734628
  0.          0.          0.          0.         -0.34302751  0.
  0.19095054 -0.20302125  0.          0.         -0.2178875  -1.45863959
  0.88215808  0.         -0.97050166  0.          0.          0.
  0.43328351  0.          0.          0.          0.5896296   0.
  0.          0.          0.         -0.58058926  0.          0.
  0.          0.          0.21774284  1.39018738  0.          1.17539869
 -0.64649808  0.          0.        ]",-1334.1347882507034
"[ 0.73886034 -0.65912194  0.          0.         -0.18918403  0.
 -1.04635533  0.         -0.40160519 -2.43576666 -0.66822832 -0.95383641
  0.          0.          0.         -1.4692165   0.          0.
  0.          0.          0.         -0.26712562 -0.70937728 -0.57094853
  0.         -0.23098019 -1.12636241  0.         -0.82453175  0.19847882
  0.40855638  0.          0.54910529  0.          0.         -0.65471448
  0.22837204  0.          1.29780544  0.          0.          0.31237316
  0.          0.          0.62085512  1.5920228   0.          1.35316564
  0.          0.9387998   0.        ]",-1355.6550238519624
"[ 0.9308596   0.          0.          0.30000744  0.          0.
 -0.22478094  0.36898561  0.         -2.76918028  0.46391651  0.
 -0.28982264  0.11390766  0.         -0.4956854   0.          0.
  0.30858288  0.          0.25628591  0.         -0.31675942 -1.15177215
  0.86823408  0.         -1.29050632  0.          0.          0.
  0.35208139 -0.29868891  0.3377754   0.          1.03277298 -0.67403475
  0.30636087  0.          0.         -0.75891384  0.33669632  0.
  0.32146559 -0.30813895  0.43641128  1.83179875 -0.18485635  0.92610792
  0.          0.24087708 -0.17134054]",-1442.808359944138
"[ 1.05305365  0.60655083  0.25131891  0.          0.1814241  -0.4429912
 -0.64200932  1.33442919 -0.29835372 -2.24662686  0.97354805  0.72377706
  0.          0.91041589  0.35067766  0.         -0.38847784  1.27829637
  0.85856837  1.19395649  1.39088647  0.         -0.98964831 -1.06987532
  0.          0.33747507 -1.98461847  0.          0.          0.90071385
  0.26014108  0.          0.87036777  0.22019313  1.07793093 -0.54228799
  0.          0.         -0.27982873 -1.24460588  0.73266548 -0.62832368
  0.          0.         -0.57249994  1.35059441  0.          0.81886401
  0.          0.6359319   0.        ]",-1222.2430634653429
"[ 0.91305131  0.71782843 -0.67091713  0.          0.81441216 -0.21983071
  0.          0.85955181  0.         -1.20030856  0.          0.50524035
 -0.26302892  1.02742252  0.19525513  0.62764791 -0.95271753  1.76133553
  2.07198968  1.43108075  1.76355622  1.46061312  0.         -1.02211929
  0.96693702  1.0526999   0.          0.         -0.7675495   1.32024231
 -1.06317529  0.          1.05161539 -0.60519432  1.20496065  0.79316652
  0.62293469  0.47835033 -0.2833741  -0.78856346  0.6608405  -2.18149278
  0.         -0.89868741 -1.22335472  1.60514488  0.30923884  0.
  0.52982044  0.59665664  0.44956911]",-1200.7763916076494
"[ 0.8163207  -0.70396472  0.         -0.35911622  0.40486629  0.35367498
  1.05494105 -0.41501582  0.         -1.09907422  0.55349994  0.
 -0.33671624  1.33973123  0.16973934  0.32652731 -0.15198709  0.3292006
  0.97287054  0.97993048  0.29212489 -0.48531403  0.22615503 -1.15395259
  0.61520023  0.         -2.00738323 -0.18791821 -0.79454006  0.31951108
 -1.06251534  0.57857905  0.         -0.71424067  0.77781737  0.7910434
 -0.33251989  2.19509497 -0.44044049  0.34281078  0.35535655 -0.37555849
  0.30326089 -0.15642853  0.11598134  1.91206456 -0.61926298  1.10548313
  0.54126281  0.79136259 -0.32004057]",-1663.3195368352808
"[ 9.17268735e-01 -4.88474104e-02  1.01013500e-01  4.50406959e-01
  1.32595537e-01 -4.03139778e-02 -2.72391894e-01  4.32529554e-01
 -4.18214970e-04 -2.63899789e+00  5.31544039e-01 -6.94155496e-02
 -6.89587111e-01  5.53273954e-01  2.76191860e-01 -3.26280892e-01
 -2.54464997e-01  4.31736597e-01  4.80027760e-01  5.63276182e-01
  7.42064260e-01 -1.06847521e-01 -4.55875743e-01 -1.03725075e+00
  5.91673130e-01 -2.10599498e-02 -1.47873642e+00  1.36779125e-02
 -3.30210189e-01  3.43551325e-01  1.28529546e-01 -1.69649776e-01
  6.93746713e-01 -1.10902344e-01  1.20284125e+00 -5.88587654e-01
  3.22760705e-01  2.97253981e-01  4.93605936e-02 -1.19412804e+00
  4.10398987e-01 -4.44448020e-01  5.31317562e-01 -4.05934860e-01
  4.71147440e-02  1.79225044e+00 -2.52602415e-01  9.55957312e-01
  1.46583801e-01  4.99745078e-01 -4.23178405e-01]",-1297.053368963439
