weight,err
"[ 1.0662172   0.          0.          0.          0.          0.
  0.          0.          0.         -2.37040804  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         -1.74338505
  0.          0.         -1.69428545  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          1.9035275   0.          0.82712867
  0.          0.          0.        ]",-1131.3406696097823
"[ 0.91900627 -0.65181778  0.          0.          0.          0.
  0.          0.          0.316688   -1.55652557  0.         -0.5687534
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.48284371 -0.89448307
  0.          0.         -1.1120358   0.          0.          0.
  0.          0.          0.          0.          0.         -0.60780749
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.98827702  0.          0.79390681
  0.          0.          0.        ]",-1450.3163693393167
"[ 1.13633919  0.          0.         -0.52722055  0.          0.
  0.          0.          0.         -1.17252551  0.          0.
  0.          0.65279235  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.72791218  0.         -0.8154304   0.          0.          0.
  0.          0.         -0.48154581  0.          0.         -0.46834572
  0.          0.          0.41724862 -0.87289728  0.         -0.48963462
 -0.56292461  0.          0.65869893  0.72078435  0.          1.11273976
  0.76632859  0.          0.        ]",-1279.2789496464345
"[ 0.97813958  0.          0.          0.         -0.26844773  0.
  0.7348696  -0.3979946   0.3593848  -1.50656824  0.          0.
  0.          0.          0.          0.          0.         -0.44733324
  0.33462816  0.          0.          0.          0.         -1.52780824
  1.0199466   0.         -1.11030301  0.          0.34999808  0.
  0.         -0.36826778 -0.55797511 -0.36246646  0.7922912   0.
  0.          0.         -0.44835063  0.         -0.2609681   0.2589503
  0.          0.          0.          1.53192819  0.          0.56357523
  0.          0.          0.        ]",-1337.3230250346487
"[ 0.93033384  0.          0.         -0.57906521  0.          0.
  0.5829598  -0.77973206  0.         -1.36328678  0.          0.
  0.          0.          0.         -0.22147739 -0.1481093  -0.2465897
  0.          0.42164452  0.         -0.33413253  0.         -1.49506769
  0.44361351 -0.60420971 -1.43761937  0.          0.58361394  0.
  0.         -0.45282287  0.          0.          0.26591388  0.34672827
  0.17603046  1.16177361  0.          0.          0.          0.65883414
  0.          0.26223764  0.          1.76385149 -0.47247836  0.71836275
  0.          0.         -0.34215728]",-1387.0569725379917
"[ 1.04425416  0.          0.          0.          0.27033776  0.
  0.          0.56874432 -0.13104052 -2.58215763  0.76131702  0.
  0.          0.          0.         -0.2887376  -0.19870412  0.
  0.64136554  0.          0.          0.37249937 -0.43358556 -0.57926643
  0.75929489  0.         -0.75005731  0.71526036 -0.45017299  0.
  0.21339877  0.          0.         -0.37072228  1.75621374 -1.35277318
  0.80912193 -0.71755777 -0.49436468 -1.11200392  0.          0.
  0.74564357 -0.53386535  1.08107333  1.28049816  0.64663521  1.05695388
  0.          0.         -0.19795006]",-1123.0666930841567
"[ 1.33058634 -0.79496109 -1.0416295   0.          0.25428561  0.
  0.64455224  0.          0.         -0.69469761  0.          0.
  0.          0.67805869  0.46687283 -0.52496507 -0.59117729  0.61972317
  0.57746788  2.09099226  0.37372892  0.          0.         -1.64744005
  0.93480019  0.26852816 -0.71426262 -0.3853179  -1.23872119  1.56010207
 -0.74194669  0.          0.70750901 -0.48482956  0.          0.69434434
  0.          1.31737755  0.          0.          0.43618177 -1.45128148
  0.29452342 -0.40108256 -0.55065657  1.28344057  0.          0.53647717
  0.69654183  0.61635236  0.6746671 ]",-1300.4849850168316
"[ 0.80784237 -0.30986057 -0.62529389  0.19237136  0.33368559 -0.37936112
  0.16893206  0.         -0.15433001 -2.37023841  0.26650149 -0.22507279
  0.          0.66545574  0.53122337 -0.41310942 -0.37544288  0.
  0.27808482  0.65230381  0.89436648  0.52020072  0.         -1.19762
  0.87411416  0.         -0.76746434  0.         -0.49736619  0.31747647
 -0.37393956 -0.39828025  0.6814223  -0.13618609  1.23890363 -0.40712203
 -0.28955477  0.         -0.38976854 -1.14900748  0.24892103 -0.88180095
 -0.44541641 -0.2541939   0.          1.49280493  0.5252891   1.04701817
  0.          0.56117834  0.        ]",-1175.6749018195287
"[ 1.11683012  0.14651115 -0.1394871  -0.01499495  0.39695384 -0.18380058
  0.41140848  0.         -0.08984744 -1.20814992  0.          0.43352927
  0.14855316  0.36071992 -0.08799232 -0.30867418 -0.43304438  0.87825602
  0.72929709  1.15029514  0.67678118  0.38394899 -0.37223225 -1.43161342
  1.0127324   0.80746364 -0.90405315  0.18460669  0.08665286  0.96662501
  0.         -0.36065522 -0.20327899 -0.41949957  0.11519047  0.42426612
  0.          1.14152002 -0.32096933 -0.12569956  0.40754201  0.
 -0.80415544  0.54436495 -0.9476254   1.82820243  0.22910878  0.30261647
 -0.20043498  0.11697189  0.06163082]",-988.1322987161412
"[ 0.92788556 -0.20649855 -0.12006521 -0.06727547  0.23552708 -0.1314377
 -0.17494643  0.42721775  0.02042868 -2.79135522  0.26605445 -0.35626417
 -0.28303888  0.37551565  0.33010312 -0.76127747 -0.11940515  0.19963735
  0.23585385  0.22516091  0.44529842 -0.10798811 -0.51892186 -1.05017971
  0.65095167  0.00589384 -1.58240381  0.11368213 -0.25010236  0.12142467
  0.52993443 -0.25576204  0.4635213  -0.0039877   0.93496246 -0.81245617
  0.40485372  0.08570124  0.02015566 -0.67288604  0.39018274 -0.19350473
  0.16056875 -0.12484079  0.39870473  1.77255631  0.0760365   1.28145656
 -0.34753542  0.31381466 -0.07401497]",-1257.5648242437383
