st_cty,vac_rate,low,med,high,tot_hesi,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,party,believe_in_god,relig_rank,religious_index
AL Marshall County,35.7,0.21,0.16,0.12,0.49,0.281439032,0.641515441,0.438713785,0.701368991,0,0.82,1,0.77
AL Mobile County,39.5,0.23,0.17,0.13,0.53,0.231136581,0.714103789,0.368990767,0.826488379,0,0.82,1,0.77
AL Monroe County,36.5,0.24,0.17,0.13,0.54,0.567016874,0.94364852,0.631327603,0.973256925,0,0.82,1,0.77
AL Montgomery County,46.8,0.21,0.15,0.11,0.47,0.288124801,0.571792423,0.327602674,0.849092646,1,0.82,1,0.77
AL Morgan County,36.7,0.22,0.17,0.13,0.52,0.255332697,0.558739255,0.429162687,0.681630054,0,0.82,1,0.77
AL Perry County,42,0.25,0.18,0.14,0.57,0.601719198,0.966571156,0.665393187,0.949697549,1,0.82,1,0.77
AL Pickens County,41.2,0.22,0.17,0.13,0.52,0.417382999,0.871378542,0.439668895,0.936644381,0,0.82,1,0.77
AL Pike County,34.6,0.23,0.17,0.13,0.53,0.489971347,0.900031837,0.360713149,0.872970392,0,0.82,1,0.77
AL Randolph County,28.3,0.24,0.18,0.14,0.56,0.461636422,0.744667303,0.522445081,0.833174148,0,0.82,1,0.77
AL Russell County,33.2,0.23,0.17,0.13,0.53,0.387456224,0.780006367,0.784145177,0.948742439,1,0.82,1,0.77
AL Shelby County,31.2,0.18,0.14,0.11,0.43,0.382680675,0.023559376,0.202801656,0.283667622,0,0.82,1,0.77
AL St. Clair County,32.3,0.24,0.19,0.14,0.57,0.318051576,0.333651703,0.76536135,0.399235912,0,0.82,1,0.77
AL Sumter County,44.8,0.25,0.18,0.14,0.57,0.618274435,0.977714104,0.901305317,0.982808023,1,0.82,1,0.77
AL Talladega County,31.3,0.24,0.18,0.14,0.56,0.490289717,0.785418656,0.742438714,0.902897167,0,0.82,1,0.77
AL Tallapoosa County,33.4,0.24,0.18,0.14,0.56,0.437121936,0.710920089,0.249283668,0.88379497,0,0.82,1,0.77
AL Tuscaloosa County,37,0.22,0.16,0.12,0.5,0.419293219,0.420885068,0.379496975,0.64883795,0,0.82,1,0.77
AL Walker County,39.5,0.24,0.19,0.14,0.57,0.417064629,0.728748806,0.305316778,0.791786055,0,0.82,1,0.77
AL Washington County,35.3,0.24,0.17,0.13,0.54,0.496338746,0.94301178,0.717287488,0.556192295,0,0.82,1,0.77
AL Wilcox County,46.9,0.24,0.17,0.13,0.54,0.917542184,0.994906081,0.52849411,0.978032474,1,0.82,1,0.77
AL Winston County,18.8,0.23,0.18,0.14,0.55,0.41451767,0.82457816,0.557465775,0.790830946,0,0.82,1,0.77
AR Arkansas County,46.5,0.26,0.21,0.14,0.61,0.560649475,0.657433938,0.369945877,0.815027061,0,0.77,5,0.7
AR Ashley County,40.7,0.28,0.22,0.15,0.65,0.514485833,0.944921999,0.547277937,0.756128621,0,0.77,5,0.7
AR Baxter County,41.8,0.24,0.2,0.13,0.57,0.139446036,0.525947151,0.493791786,0.274116523,0,0.77,5,0.7
AR Benton County,44.5,0.22,0.18,0.12,0.52,0.251512257,0.35370901,0.457179242,0.271569564,0,0.77,5,0.7
AR Boone County,32,0.24,0.2,0.13,0.57,0.251830627,0.23368354,0.300222859,0.561922954,0,0.77,5,0.7
AR Bradley County,47.9,0.28,0.22,0.15,0.65,0.338745622,0.921044253,0.274434893,0.894619548,0,0.77,5,0.7
AR Calhoun County,29.7,0.25,0.2,0.13,0.58,0.372492837,0.798471824,0.523081821,0.752308182,0,0.77,5,0.7
AR Carroll County,36.6,0.24,0.2,0.13,0.57,0.285259472,0.785418656,0.456542502,0.679083095,0,0.77,5,0.7
AR Chicot County,46,0.28,0.22,0.15,0.65,0.534224769,0.959567017,0.312639287,0.922317733,0,0.77,5,0.7
AR Clark County,42.2,0.25,0.2,0.13,0.58,0.315504616,0.770136899,0.349888571,0.787965616,0,0.77,5,0.7
AR Clay County,38.3,0.26,0.21,0.14,0.61,0.433619866,0.70296084,0.224450812,0.837631328,0,0.77,5,0.7
AR Cleburne County,38.5,0.27,0.22,0.15,0.64,0.381407195,0.460044572,0.357847819,0.302133079,0,0.77,5,0.7
AR Cleveland County,43.6,0.28,0.22,0.15,0.65,0.299267749,0.638968481,0.901623687,0.498567335,0,0.77,5,0.7
AR Columbia County,39.2,0.25,0.2,0.13,0.58,0.457815982,0.901623687,0.348296721,0.582298631,0,0.77,5,0.7
AR Conway County,46.1,0.26,0.21,0.14,0.61,0.467367081,0.82075772,0.651384909,0.621139764,0,0.77,5,0.7
AR Craighead County,36.9,0.26,0.21,0.14,0.61,0.232091691,0.343202802,0.240369309,0.690862783,0,0.77,5,0.7
AR Crawford County,36.2,0.25,0.21,0.13,0.59,0.242279529,0.717287488,0.782871697,0.454313913,0,0.77,5,0.7
AR Crittenden County,34.3,0.27,0.22,0.14,0.63,0.415472779,0.758993951,0.366762178,0.838586437,1,0.77,5,0.7
AR Cross County,41.1,0.29,0.23,0.15,0.67,0.331423114,0.64629099,0.633556192,0.698503661,0,0.77,5,0.7
AR Dallas County,48.4,0.25,0.2,0.13,0.58,0.392868513,0.829353709,0.676217765,0.842406877,0,0.77,5,0.7
AR Desha County,50.4,0.28,0.22,0.15,0.65,0.545686087,0.990448902,0.575294492,0.871378542,0,0.77,5,0.7
AR Drew County,40.5,0.28,0.22,0.15,0.65,0.47023241,0.493473416,0.441260745,0.695956702,0,0.77,5,0.7
AR Faulkner County,42,0.26,0.21,0.14,0.61,0.356255969,0.215854823,0.347659981,0.514804202,0,0.77,5,0.7
AR Franklin County,38.9,0.27,0.22,0.14,0.63,0.280802292,0.76345113,0.443170965,0.553963706,0,0.77,5,0.7
